production_companies,count
Shochiku Kinema (Kamata),104
Turner Classic Movies,103
Entertainment One,103
JustFilms / Ford Foundation,103
Zen Pictures,103
Jesse L. Lasky Feature Play Company,103
Sender Freies Berlin,102
Christie Film Company,102
Sigmund Neufeld Productions,102
Cinétévé,101
Kunsthochschule für Medien Köln,101
J.R. Bray Studios,101
GP Museum Soft,101
Marvel Studios,100
Central Motion Picture Corporation,100
France 5,100
Estúdios Globo,100
Xi'an Film Studio,100
Lumiton,100
FPJ Productions,100
Metro Pictures Corporation,99
Dunav Film,99
ABC News,99
Dania Film,99
NBC Productions,99
Scottish Television (STV),99
The,99
Arts Council of England,98
OLM,98
Matchroom Boxing,98
Cecchi Gori Group Tiger Cinematografica,98
Central Television USSR,97
Pandora Film,97
Top Rank,97
Società Italiana Cines,97
Estudios América,97
Why Not Productions,97
Canibal Filmes,97
Famous Players Film Company,97
WDR/Arte,96
Medusa Distribuzione,96
Art Theatre Guild,96
Tarantula,96
Torchlight Pictures,96
Escola das Artes - Universidade Católica,95
Opéra National de Paris,95
UL AGRFT,95
A24,95
Pierrot,95
Indiestory,95
Regione Lazio,95
Splice Post,95
Watanabe Production,95
Shin-Ei Animation,94
Ishinomori Productions,94
Yomiuri Telecasting Corporation,94
PM Entertainment Group,94
Russian Central Studio of Documentary Films,94
RÚV,94
Pannónia Filmstúdió,94
M6,94
Zee Studios,93
La Région Île-de-France,93
Tsentrnauchfilm,93
Tobis Filmkunst,93
HighSpots,93
S.A.,93
Gemini Films,92
Anonymous Content,92
Eros International,92
"Studio ""Pilot""",92
Opus Arte,92
Big Hit Entertainment,92
WOWOW,92
Majestic Motion Picture Company,92
The New York Times,92
Baltic Film and Media School,92
Vardar Film,91
CBS Entertainment Productions,91
Voltage Pictures,91
Sony Pictures Television Studios,91
HYBE,91
Brad Krevoy Television,91
Faculty of Dramatic Arts in Belgrade,91
BBC Wales,91
Südwestfunk (SWF),91
Studio Ghibli,91
Cosmopolitan Productions,91
ifs internationale filmschule köln gmbh,90
Merton Park Studios,90
Televicine S.A. de C.V.,90
Field of Vision,90
Ringling College of Art + Design,89
Armenfilm,89
UTV Motion Pictures,89
ITN Distribution,89
Solar Films,89
Warner Home Video,89
Arzu Film,89
Castle Rock Entertainment,89
Uğur Film,89
Castel Film,88
Larry Darmour Productions,88
Comedie +,88
Fédération tunisienne des cinéastes amateurs (FTCA),88
"Studio ""Shar""",88
Filmauro,88
Acar Film,88
Insight Film Studios,88
Pictanovo,88
Filmlance International,88
XYZ Films,88
Full Moon Entertainment,87
Yash Raj Films,87
Hollywood Pictures,87
Turkmenfilm,87
Sidus,87
Shqipëria e Re,87
Shueisha,87
ZED,87
United Productions of America (UPA),87
Československý státní film,87
Filmuniversität,87
Stage 6 Films,87
New Wave Entertainment,87
Den Danske Filmskole,87
ASA,87
Les Archives de l’Art Cinématonique,87
Film Polski,87
Centro Universitario de Estudios Cinematográficos (CUEC),87
Korean Film Council,87
United King Films,86
BBC One,86
Nordisk Tonefilm,86
Nordisk Film & TV Fond,86
PROGRESS,86
20th Century Fox Home Entertainment,86
Les Films Ariane,86
TV Cultura,86
RHI Entertainment,86
Escuela Nacional De Artes Cinematográficas,86
Funny or Die,86
Big Idea Productions,86
Lipsync Productions,86
Yorkshire Television,86
Ecam,86
Paragon Films Ltd.,85
Artemis Rising,85
ITV Studios,85
Balcázar,85
Finley-Holiday Film Corp.,85
Nelvana,85
MVP Pictures,85
Turkish Radio & Television,85
Slovenská televízia,85
Roxy Film,85
Impact Partners,85
Canal Sur,85
Studio dokumentárních filmů Praha,85
Smithsonian Channel,84
A+E Studios,84
Huayi Brothers Pictures,84
Seiko Films,84
American Film Institute (AFI),84
Adult Swim,84
Senator Film,84
Central Studio of Documentary Films,84
YouTube,84
Ukranimafilm,84
Rai Fiction,84
Educational Pictures,84
The London Film School,84
Studio Miniatur Filmowych,83
Krátký film Praha – Studio Bratři v triku,83
Trimark Pictures,83
VICE Media,83
AVM Productions,83
Korea National University of Arts,83
Inc,83
MEDIA Programme of the European Union,83
CAPA,83
NFL Films,83
Viacom18 Studios,83
Shout! Factory,83
Società Anonima Ambrosio,83
Williams Street,83
ABC Circle Films,83
Miyu Productions,82
South Australian Film Corporation,82
Vides Cinematografica,82
Malay Film Productions Ltd.,82
Network Movie,82
Mezzo,82
Agencja Produkcji Filmowej,82
Akademija Dramskih Umjetnosti (ADU),81
Agência Nacional do Cinema - ANCINE,81
Orange Studio,81
Coliseum Video,81
Ukrtelefilm,81
Paramount Home Entertainment,81
World Film,81
NRK,81
Khanzhonkov,81
Cattleya,81
NTR,81
Sony Music Entertainment (Japan),81
TSG Entertainment,80
Avex Trax,80
Canal 6 de Julio,80
Metrol Technology,80
O Som e a Fúria,80
Surrender Cinema,80
HiT Entertainment,80
Svenska Biografteatern,80
Nimbus Film,80
2 Entertain,80
Robert W. Paul,80
André Rieu Studios,80
Canal+ Polska,79
Dino de Laurentiis Cinematografica,79
Apple,79
Rapid Film,79
Film i Skåne,79
Terratreme,79
Kemal Film,79
Ecce Films,79
Union Générale Cinématographique (UGC),79
Cesáreo González,79
British Screen Productions,79
Horipro,79
Animācijas Brigāde,79
Telecinco Cinema,78
Franco London Films,78
Dor Film Production Company,78
MGM Home Entertainment,78
Renn Productions,78
Leningrad Television,78
M. Razbezhkina and M. Ugarov Academy,78
Haut et Court,78
Argos Films,78
Thanhouser Film Corporation,78
Davis Entertainment,78
Turner Network Television,78
Magyar Televízió,78
Les Films du Nord,78
Sil-Metropole Organisation,78
Bron Studios,77
Les Films Alain Sarde,77
CCTV,77
Erman Film,77
OctoArts Films,77
FilmNation Entertainment,77
Ministry of Culture of the Russian Federation,77
AMUSE,76
Telecine,76
BBC Two,76
Nordisk Film Sweden,76
PEA,76
Scottish Documentary Institute,76
Saner Film,76
Filmation Associates,76
SND,76
Cinematográfica Calderón S.A.,76
Cinedistri,76
Samuel Goldwyn Productions,76
All Elite Wrestling,76
Reliance Film Company,75
Von Zerneck Sertner Films,75
American Zoetrope,75
Documento Film,75
STUDIO4℃,75
Dune Entertainment,75
Gaither Television Productions,75
Walt Disney Animation Studios,75
Sundance Institute,75
Sky Cinema,74
Slovenská televízia Bratislava,74
USA Network,74
The Mirisch Company,74
Killer Films,74
Caïmans Productions,74
World International Network (WIN),74
Lux Compagnie Cinématographique de France,74
El Dorado Films,74
Alliance Atlantis,74
Mandate International,74
Filmpool Nord,74
ACM Films,74
NEST Family Entertainment,74
Entre Chien et Loup,74
Les Films Pelléas,73
Chicken & Egg Pictures,73
VUFKU,73
Production Taka,73
Pearl River Film Studio,73
Syfy,73
Sheridan College,73
Passion Pictures,73
Fox 2000 Pictures,73
At Entertainment Inc.,73
Entertain Me Productions LTD,73
Cine Argentino,73
Decca,73
Patagonik,73
Lorimar Productions,73
Super16,73
Warner Bros. Japan,73
Kay-Bee Pictures,73
Reality Entertainment,73
Michael Blackwood Productions,73
New Regency Pictures,73
Consejo Nacional para la cultura y las artes,73
British & Dominions Film Corporation,73
Morena Films,73
Société Française des Films Éclair,73
Rialto Film,72
Corporation for Public Broadcasting,72
New York Motion Picture,72
Les Films de la Pléiade,72
Le Pacte,72
East Japan Marketing & Communications,72
Sony Pictures Home Entertainment,72
Original Film,72
FBI Productions,72
Filmværkstedet,72
Final Cut for Real,72
Wilshire Court Productions,72
Flach Film,72
Radio Bremen,71
Grindstone Entertainment Group,71
X Filme Creative Pool,71
Swirl Films,71
Telewizyjne Studio Filmow Animowanych w Poznan,71
LEGO,71
Playboy Enterprises,71
OCS,71
Falcon Pictures,71
Impala,71
Nestor Film Company,71
Triangle Film Corporation,71
Eesti Telefilm,71
Establecimientos Filmadores Argentinos,71
Nowness,71
Tezuka Productions,71
VFS Films,70
Filmové studio Gottwaldov,70
Bosna Film,70
Televizija Skopje,70
The Kushner-Locke Company,70
Studio Babelsberg,70
Frederator Studios,70
Major League Baseball Productions,70
Arthaus Musik,70
Canal Bis,70
Dschoint Ventschr Filmproduktion,70
Vertical Entertainment,70
EMI Films,69
Escola Superior de Teatro e Cinema,69
Milkyway Image,69
Victor Entertainment,69
Ziegler Film,69
Warner Music Group,69
Thomas H. Ince Corporation,69
Illumination,69
Armenia Studio,69
Lucky Red,69
Independent Moving Pictures Co. of America (IMP),69
Planète+,69
Saga Studio,69
Anchor Bay Entertainment,69
Indigo Film,69
"Zespół Filmowy ""Kadr""",69
The Criterion Collection,68
Itala Film,68
Fennada-Filmi,68
ICEC,68
Madragoa Filmes,68
Educational Films Corporation of America,68
Australian Film Television and Radio School,68
Academia Internacional de Cinema,68
Tiffany Productions,68
Consolidated Puppets,68
British National Films,68
Robertson-Cole Pictures Corporation,68
CBS Productions,68
Wakamatsu Production,68
Atlântida Cinematográfica,68
Scott Rudin Productions,68
Latvijas Televizija,67
Histoire TV,67
LAMIA Project,67
EFO Films,67
Bando à Parte,67
Toei Central Film,67
Vega Film,67
Mitchell & Kenyon,67
Samsa Film,67
Halas and Batchelor Cartoon Films,67
Pine-Thomas Productions,67
Croatia Film,67
Lakeshore Entertainment,67
Legendary Pictures,67
IMAX,67
Centar film,67
Chikara Pro,67
Rabbit Ears Productions,67
WFF Wroclaw,67
Hepworth,67
Sony Pictures Classics,67
Imagem e Som - UFSCar,67
Kadokawa Shoten,67
Sesame Workshop,67
Alliance Films,67
SNC,66
G. Méliès,66
Herbert Wilcox Productions,66
Film Booking Offices of America (FBO),66
RadicalMedia,66
J.C.STAFF,66
Metro-Goldwyn-Mayer British Studios,66
UFC Fight Pass,66
Gaumont International,66
BOGOSHORTS Film Agency,66
Ministry of Information,66
Romana Film,66
Tama Art University,66
Zadig Productions,66
Telewizja Polska,66
TVB,66
Sol Lesser Productions,66
Anime International Company,66
Finecut,66
Som Livre,65
GMA Pictures,65
Telefe,65
Tokyo Eiga Co.,65
TMC,65
Budapest Filmstúdió,65
Cinema Dal,65
Canadian Film Development Corporation (CFDC),65
C Major Entertainment,65
MM2 Entertainment,65
Les Productions Artistes Associés,65
